"NYSC Corper Registry — Batch 23D | Lead City University, Ibadan",,,,,,,
Full Name,Call-Up Number,State Code,Email,Batch,Service Start Date,Deployment Unit,Status
Mbah Adaora,NYSC/LASU/2023/101856,FC/23D/0001,adaorambah38@hotmail.com,23D,25-Nov-2023,Management Sciences,COMPLETED
Makinde Taiwo,NYSC/UNILORIN/2023/101870,AB/23D/0002,taiwmakinde@hotmail.com,23D,14-Nov-2023,Environmental Sciences,COMPLETED
Adeleke Halima,NYSC/UNIMAID/2023/101883,KT/23D/0003,haliadeleke@yahoo.com,23D,28-Nov-2023,Arts Faculty,COMPLETED
Mbah Olamide,NYSC/BUK/2023/101885,KN/23D/0004,olamide.mbah@gmail.com,23D,13-Dec-2023,Agriculture Faculty,COMPLETED
Eze Ebele,NYSC/FUOYE/2023/101891,KN/23D/0005,ebele.eze@gmail.com,23D,03-Dec-2023,Management Sciences,COMPLETED
Haruna Chibuike,NYSC/FUTMINNA/2023/101900,NA/23D/0006,chibuike.haruna@hotmail.com,23D,01-Dec-2023,Management Sciences,COMPLETED
Musa Chinwe,NYSC/ABU/2023/101905,AB/23D/0007,chinmusa@yahoo.com,23D,01-Dec-2023,Medical Sciences,COMPLETED
Nwankwo Tunde,NYSC/FUOYE/2023/101913,NA/23D/0008,tundenwankwo6@gmail.com,23D,12-Dec-2023,Science Faculty,COMPLETED
Nwofor Ebele,NYSC/LASU/2023/101924,YB/23D/0009,ebele.nwofor@yahoo.com,23D,26-Nov-2023,Agriculture Faculty,COMPLETED
Oyeleke Ifeoma,NYSC/UNILAG/2023/101927,KN/23D/0010,ifeoma.oyeleke@yahoo.com,23D,16-Dec-2023,Library,COMPLETED
Adeleke Oluwafunmilayo,NYSC/LASU/2023/101931,KW/23D/0011,oluwafunmilayoadeleke26@hotmail.com,23D,13-Dec-2023,Medical Sciences,COMPLETED
Ajayi Tolulope,NYSC/NOUN/2023/101940,KD/23D/0012,toluajayi@hotmail.com,23D,12-Nov-2023,Environmental Sciences,COMPLETED
Musa Gbenga,NYSC/FUOYE/2023/101952,AN/23D/0013,gbengamusa40@gmail.com,23D,15-Dec-2023,Science Faculty,COMPLETED
Amaechi Uchenna,NYSC/NOUN/2023/101961,AN/23D/0014,uchennaamaechi63@yahoo.com,23D,19-Nov-2023,Management Sciences,COMPLETED
Adeniyi Aliyu,NYSC/FUTMINNA/2023/101964,OS/23D/0015,aliyadeniyi@hotmail.com,23D,03-Dec-2023,Engineering Faculty,COMPLETED
Lawan Bello,NYSC/UNIPORT/2023/101972,KT/23D/0016,bellolawan11@gmail.com,23D,03-Nov-2023,Education Faculty,COMPLETED
Bankole Salisu,NYSC/UNIPORT/2023/101976,IM/23D/0017,salisubankole71@gmail.com,23D,20-Dec-2023,Environmental Sciences,COMPLETED
Eze Kunle,NYSC/UNILORIN/2023/101990,NA/23D/0018,kunle.eze@gmail.com,23D,29-Nov-2023,Management Sciences,COMPLETED
Nwankwo Blessing,NYSC/UNICAL/2023/101996,AB/23D/0019,blesnwankwo@yahoo.com,23D,09-Nov-2023,Social Sciences,COMPLETED
Okafor Rotimi,NYSC/UI/2023/102010,JG/23D/0020,rotiokafor@outlook.com,23D,18-Nov-2023,Environmental Sciences,COMPLETED
Lawal Bolanle,NYSC/BUK/2023/102025,AN/23D/0021,bolanle.lawal@outlook.com,23D,10-Nov-2023,Engineering Faculty,COMPLETED
Ojo Obiageli,NYSC/ABU/2023/102031,SO/23D/0022,obiageliojo81@hotmail.com,23D,05-Nov-2023,Environmental Sciences,COMPLETED
Nwosu Blessing,NYSC/UI/2023/102044,TA/23D/0023,blesnwosu@outlook.com,23D,01-Nov-2023,Library,COMPLETED
Obi Oluwaseyi,NYSC/FUTMINNA/2023/102058,NI/23D/0024,oluwaseyiobi28@hotmail.com,23D,18-Nov-2023,Science Faculty,COMPLETED
Agu Ikenna,NYSC/UNIMAID/2023/102072,AN/23D/0025,ikenna.agu@gmail.com,23D,08-Nov-2023,Medical Sciences,COMPLETED
Okonkwo Chukwudi,NYSC/UNILORIN/2023/102080,KG/23D/0026,chukwudiokonkwo84@outlook.com,23D,06-Nov-2023,Library,COMPLETED
Musa Kayode,NYSC/LASU/2023/102086,KB/23D/0027,kayodemusa81@outlook.com,23D,12-Dec-2023,Engineering Faculty,COMPLETED
Okonkwo Tunde,NYSC/UNIMAID/2023/102098,BE/23D/0028,tunde.okonkwo@yahoo.com,23D,01-Nov-2023,Science Faculty,COMPLETED
Atiku Oluwakemi,NYSC/UNIMAID/2023/102104,AN/23D/0029,oluwakemi.atiku@yahoo.com,23D,21-Nov-2023,Science Faculty,COMPLETED
Salami Gbenga,NYSC/ABU/2023/102119,KD/23D/0030,gbengasalami9@gmail.com,23D,23-Nov-2023,Computing Department,COMPLETED
Obiora Nnamdi,NYSC/UNIPORT/2023/102123,KT/23D/0031,nnamobiora@gmail.com,23D,17-Dec-2023,Social Sciences,COMPLETED
Ajayi Tobi,NYSC/UNICAL/2023/102129,AN/23D/0032,tobiajayi@gmail.com,23D,20-Nov-2023,Law Faculty,COMPLETED
Garba Isioma,NYSC/FUTA/2023/102138,KN/23D/0033,isioma.garba@gmail.com,23D,16-Nov-2023,Computing Department,COMPLETED
Chukwu Okonkwo,NYSC/UNILAG/2023/102149,YB/23D/0034,okonkwochukwu17@hotmail.com,23D,05-Dec-2023,Medical Sciences,COMPLETED
Chukwu Ramoni,NYSC/OAU/2023/102152,OY/23D/0035,ramonichukwu28@gmail.com,23D,03-Dec-2023,Engineering Faculty,COMPLETED
Amaechi Adannaya,NYSC/NOUN/2023/102163,KG/23D/0036,adannaya.amaechi@yahoo.com,23D,03-Dec-2023,Science Faculty,COMPLETED
Nzekwe Nneka,NYSC/OAU/2023/102176,KN/23D/0037,nneka.nzekwe@hotmail.com,23D,06-Nov-2023,Law Faculty,COMPLETED
Okafor Chukwudi,NYSC/LASU/2023/102178,ED/23D/0038,chukwudi.okafor@gmail.com,23D,02-Dec-2023,Science Faculty,COMPLETED
Oyelaran Wale,NYSC/FUTMINNA/2023/102187,IM/23D/0039,waleoyelaran94@gmail.com,23D,28-Nov-2023,Arts Faculty,COMPLETED
Oyelaran Ifeanyi,NYSC/UNIMAID/2023/102196,EK/23D/0040,ifeanyioyelaran8@hotmail.com,23D,11-Nov-2023,Education Faculty,COMPLETED
Usman Chiamaka,NYSC/UNILAG/2023/102209,BY/23D/0041,chiamakausman32@gmail.com,23D,25-Nov-2023,Engineering Faculty,COMPLETED
Amaechi Emeka,NYSC/FUOYE/2023/102212,BY/23D/0042,emeka.amaechi@hotmail.com,23D,07-Dec-2023,Social Sciences,COMPLETED
Abubakar Garba,NYSC/UNICAL/2023/102214,AE/23D/0043,garbaabubakar52@gmail.com,23D,20-Dec-2023,Agriculture Faculty,COMPLETED
Tanko Blessing,NYSC/FUTMINNA/2023/102220,LA/23D/0044,blessingtanko73@outlook.com,23D,24-Nov-2023,Social Sciences,COMPLETED
Nwofor Adaora,NYSC/UNILAG/2023/102228,EN/23D/0045,adaoranwofor30@outlook.com,23D,01-Nov-2023,Management Sciences,COMPLETED
Okonkwo Haruna,NYSC/UNILORIN/2023/102239,KW/23D/0046,haruna.okonkwo@yahoo.com,23D,16-Dec-2023,Agriculture Faculty,COMPLETED
Okoro Ngozi,NYSC/BUK/2023/102241,YB/23D/0047,ngozokoro@gmail.com,23D,09-Nov-2023,Library,COMPLETED
Chukwu Taiwo,NYSC/BUK/2023/102255,OS/23D/0048,taiwochukwu31@outlook.com,23D,26-Nov-2023,Computing Department,COMPLETED
Nzekwe Victor,NYSC/UNIPORT/2023/102269,FC/23D/0049,victnzekwe@yahoo.com,23D,07-Nov-2023,Law Faculty,COMPLETED
Adeniyi Ebele,NYSC/FUOYE/2023/102271,NI/23D/0050,ebeleadeniyi69@outlook.com,23D,20-Nov-2023,Management Sciences,COMPLETED
Obi Oluwakemi,NYSC/FUTA/2023/102276,IM/23D/0051,oluwakemi.obi@gmail.com,23D,16-Dec-2023,Library,COMPLETED
Abubakar Taiwo,NYSC/UI/2023/102282,ED/23D/0052,taiwo.abubakar@gmail.com,23D,30-Nov-2023,Arts Faculty,COMPLETED
Adegoke Aisha,NYSC/UNIBEN/2023/102295,LA/23D/0053,aishadegoke@outlook.com,23D,11-Dec-2023,Social Sciences,COMPLETED
Oyelaran Festus,NYSC/UNILAG/2023/102297,EK/23D/0054,festus.oyelaran@yahoo.com,23D,22-Nov-2023,Science Faculty,COMPLETED
Abubakar Adaeze,NYSC/BUK/2023/102298,IM/23D/0055,adaeabubakar@hotmail.com,23D,28-Nov-2023,Library,COMPLETED
Anyanwu Zainab,NYSC/UI/2023/102304,AK/23D/0056,zainabanyanwu5@yahoo.com,23D,27-Nov-2023,Education Faculty,COMPLETED
Obi Amina,NYSC/NOUN/2023/102312,AK/23D/0057,aminaobi26@yahoo.com,23D,16-Dec-2023,Arts Faculty,COMPLETED
Lawan Ebunoluwa,NYSC/FUOYE/2023/102320,JG/23D/0058,ebunlawan@outlook.com,23D,15-Nov-2023,Management Sciences,COMPLETED
Okafor Oluwafunmilayo,NYSC/FUTMINNA/2023/102335,PL/23D/0059,oluwokafor@yahoo.com,23D,16-Nov-2023,Environmental Sciences,COMPLETED
Okafor Victor,NYSC/NOUN/2023/102344,BY/23D/0060,victokafor@outlook.com,23D,15-Dec-2023,Medical Sciences,COMPLETED
Nwosu Adaora,NYSC/ABU/2023/102359,JG/23D/0061,adaoranwosu64@outlook.com,23D,03-Nov-2023,Environmental Sciences,COMPLETED
Haruna Oyinkan,NYSC/UNIMAID/2023/102360,OY/23D/0062,oyinkanharuna79@yahoo.com,23D,16-Dec-2023,Engineering Faculty,COMPLETED
Okafor Chinyere,NYSC/ABU/2023/102375,OY/23D/0063,chinyereokafor15@outlook.com,23D,16-Dec-2023,Environmental Sciences,COMPLETED
Lawal Adaora,NYSC/FUTA/2023/102382,GO/23D/0064,adaolawal@hotmail.com,23D,21-Nov-2023,Medical Sciences,COMPLETED
Ezeh Chibuike,NYSC/LASU/2023/102394,BY/23D/0065,chibuike.ezeh@outlook.com,23D,17-Dec-2023,Management Sciences,COMPLETED
Ojo Oluwabunmi,NYSC/LASU/2023/102406,OG/23D/0066,oluwabunmiojo79@yahoo.com,23D,10-Nov-2023,Environmental Sciences,COMPLETED
Adesanya Chioma,NYSC/FUOYE/2023/102418,JG/23D/0067,chioma.adesanya@gmail.com,23D,17-Nov-2023,Arts Faculty,COMPLETED
Adeleke Hassan,NYSC/UI/2023/102422,JG/23D/0068,hassadeleke@hotmail.com,23D,27-Nov-2023,Science Faculty,COMPLETED
Orji Bello,NYSC/FUTMINNA/2023/102437,KD/23D/0069,bello.orji@hotmail.com,23D,29-Nov-2023,Agriculture Faculty,COMPLETED
Chima Emeka,NYSC/FUOYE/2023/102450,OY/23D/0070,emekachima10@outlook.com,23D,11-Nov-2023,Law Faculty,COMPLETED
Obi Damilola,NYSC/UNIMAID/2023/102452,GO/23D/0071,damilola.obi@gmail.com,23D,04-Nov-2023,Library,COMPLETED
Garba Rotimi,NYSC/UI/2023/102458,KT/23D/0072,rotimi.garba@outlook.com,23D,26-Nov-2023,Computing Department,COMPLETED
Obiora Olalekan,NYSC/FUTMINNA/2023/102467,OS/23D/0073,olalekan.obiora@hotmail.com,23D,07-Nov-2023,Engineering Faculty,COMPLETED
Chima Ebele,NYSC/UNIMAID/2023/102471,OD/23D/0074,ebelchima@hotmail.com,23D,17-Nov-2023,Science Faculty,COMPLETED
Igwe Ebunoluwa,NYSC/FUTMINNA/2023/102482,AE/23D/0075,ebunoluwaigwe24@hotmail.com,23D,29-Nov-2023,Management Sciences,COMPLETED
