"NYSC Corper Registry — Batch 24A | Lead City University, Ibadan",,,,,,,
Full Name,Call-Up Number,State Code,Email,Batch,Service Start Date,Deployment Unit,Status
Sule Chidi,NYSC/ABU/2024/102487,OS/24A/0001,chidsule@hotmail.com,24A,15-Feb-2024,Library,COMPLETED
Amaechi Uchenna,NYSC/UNIMAID/2024/102488,ZA/24A/0002,uchennaamaechi61@outlook.com,24A,26-Mar-2024,Environmental Sciences,COMPLETED
Bello Garba,NYSC/UNIPORT/2024/102489,AB/24A/0003,garba.bello@yahoo.com,24A,28-Feb-2024,Arts Faculty,COMPLETED
Onyekwere Ugochi,NYSC/UI/2024/102500,EN/24A/0004,ugoconyekwere@hotmail.com,24A,21-Feb-2024,Medical Sciences,COMPLETED
Tanko Wale,NYSC/BUK/2024/102505,LA/24A/0005,wale.tanko@hotmail.com,24A,08-Mar-2024,Science Faculty,COMPLETED
Olawale Ikenna,NYSC/UI/2024/102507,KT/24A/0006,ikenna.olawale@hotmail.com,24A,18-Feb-2024,Management Sciences,COMPLETED
Nwosu Adaobi,NYSC/NOUN/2024/102510,OG/24A/0007,adaobinwosu7@hotmail.com,24A,02-Feb-2024,Medical Sciences,COMPLETED
Okonkwo Gbenga,NYSC/UNIMAID/2024/102524,AK/24A/0008,gbenokonkwo@outlook.com,24A,29-Feb-2024,Library,COMPLETED
Sule Chinyere,NYSC/OAU/2024/102538,KT/24A/0009,chinsule@hotmail.com,24A,27-Mar-2024,Social Sciences,COMPLETED
Aliyu Amina,NYSC/FUTA/2024/102552,EK/24A/0010,amina.aliyu@hotmail.com,24A,28-Mar-2024,Library,COMPLETED
Nwofor Amina,NYSC/UNIPORT/2024/102556,OG/24A/0011,aminanwofor91@yahoo.com,24A,24-Mar-2024,Engineering Faculty,COMPLETED
Adegoke Taiwo,NYSC/UNICAL/2024/102565,OY/24A/0012,taiwoadegoke77@hotmail.com,24A,09-Mar-2024,Medical Sciences,COMPLETED
Aliyu Lawal,NYSC/OAU/2024/102571,RS/24A/0013,lawaaliyu@yahoo.com,24A,21-Mar-2024,Law Faculty,COMPLETED
Haruna Chidi,NYSC/UI/2024/102585,BE/24A/0014,chidiharuna66@gmail.com,24A,09-Feb-2024,Computing Department,COMPLETED
Adeyemi Okonkwo,NYSC/UI/2024/102588,BY/24A/0015,okonkwoadeyemi92@outlook.com,24A,26-Mar-2024,Environmental Sciences,COMPLETED
Ugwu Kayode,NYSC/FUTA/2024/102596,NI/24A/0016,kayougwu@gmail.com,24A,14-Mar-2024,Computing Department,COMPLETED
Bankole Amarachi,NYSC/UNN/2024/102610,ED/24A/0017,amarachibankole44@outlook.com,24A,17-Feb-2024,Education Faculty,COMPLETED
Yusuf Chizaram,NYSC/ABU/2024/102622,EB/24A/0018,chizyusuf@outlook.com,24A,09-Feb-2024,Agriculture Faculty,COMPLETED
Orji Chizaram,NYSC/UI/2024/102623,DT/24A/0019,chizaramorji50@gmail.com,24A,18-Mar-2024,Management Sciences,COMPLETED
Ogundimu Ugochukwu,NYSC/FUTA/2024/102627,JG/24A/0020,ugochukwu.ogundimu@yahoo.com,24A,19-Mar-2024,Arts Faculty,COMPLETED
Anyanwu Chibuike,NYSC/OAU/2024/102639,GO/24A/0021,chibuikeanyanwu29@outlook.com,24A,24-Feb-2024,Social Sciences,COMPLETED
Ogbu Halima,NYSC/UNIMAID/2024/102649,AB/24A/0022,haliogbu@gmail.com,24A,25-Feb-2024,Engineering Faculty,COMPLETED
Abubakar Bello,NYSC/ABU/2024/102654,EN/24A/0023,belloabubakar53@hotmail.com,24A,27-Mar-2024,Social Sciences,COMPLETED
Lawan Yusuf,NYSC/LASU/2024/102657,GO/24A/0024,yusuf.lawan@gmail.com,24A,20-Mar-2024,Medical Sciences,COMPLETED
Aliyu Oluwabunmi,NYSC/OAU/2024/102660,SO/24A/0025,oluwabunmialiyu82@hotmail.com,24A,02-Mar-2024,Arts Faculty,COMPLETED
Onyekwere Emeka,NYSC/UNILAG/2024/102661,KB/24A/0026,emeka.onyekwere@yahoo.com,24A,16-Mar-2024,Medical Sciences,COMPLETED
Onwudiwe Uchechi,NYSC/NOUN/2024/102667,KW/24A/0027,uchechionwudiwe22@gmail.com,24A,19-Feb-2024,Agriculture Faculty,COMPLETED
Agu Wale,NYSC/ABU/2024/102679,KG/24A/0028,waleagu46@yahoo.com,24A,02-Feb-2024,Medical Sciences,COMPLETED
Onwudiwe Oluwaseyi,NYSC/UNILAG/2024/102683,BE/24A/0029,oluwaseyionwudiwe16@outlook.com,24A,28-Mar-2024,Environmental Sciences,COMPLETED
Abubakar Salisu,NYSC/UNN/2024/102688,OS/24A/0030,salisuabubakar7@gmail.com,24A,25-Feb-2024,Computing Department,COMPLETED
Ogundimu Kayode,NYSC/UNILORIN/2024/102697,EN/24A/0031,kayoogundimu@gmail.com,24A,05-Mar-2024,Library,COMPLETED
Salami Isioma,NYSC/UNN/2024/102707,KT/24A/0032,isiomasalami37@gmail.com,24A,13-Feb-2024,Agriculture Faculty,COMPLETED
Onyekwere Nkechi,NYSC/BUK/2024/102711,JG/24A/0033,nkeconyekwere@yahoo.com,24A,02-Mar-2024,Law Faculty,COMPLETED
Adeyemi Chukwuemeka,NYSC/UNN/2024/102715,OD/24A/0034,chukadeyemi@gmail.com,24A,18-Mar-2024,Environmental Sciences,COMPLETED
Okoro Kayode,NYSC/FUTA/2024/102730,NI/24A/0035,kayode.okoro@hotmail.com,24A,26-Mar-2024,Law Faculty,COMPLETED
Ajayi Bolanle,NYSC/UNN/2024/102736,KG/24A/0036,bolanleajayi2@yahoo.com,24A,23-Feb-2024,Science Faculty,COMPLETED
Obi Suleiman,NYSC/FUOYE/2024/102746,KB/24A/0037,suleimanobi52@hotmail.com,24A,25-Mar-2024,Arts Faculty,COMPLETED
Amaechi Nwanneka,NYSC/UNN/2024/102758,IM/24A/0038,nwanamaechi@hotmail.com,24A,02-Mar-2024,Arts Faculty,COMPLETED
Nwankwo Bolanle,NYSC/NOUN/2024/102768,AE/24A/0039,bolanlenwankwo88@yahoo.com,24A,08-Feb-2024,Medical Sciences,COMPLETED
Eze Dauda,NYSC/UI/2024/102775,EK/24A/0040,daudeze@outlook.com,24A,05-Mar-2024,Computing Department,COMPLETED
Lawal Adaobi,NYSC/UNICAL/2024/102787,KG/24A/0041,adaolawal@yahoo.com,24A,11-Mar-2024,Education Faculty,COMPLETED
Aliyu Yakubu,NYSC/UNIMAID/2024/102788,TA/24A/0042,yakubu.aliyu@yahoo.com,24A,22-Feb-2024,Education Faculty,COMPLETED
Haruna Garba,NYSC/NOUN/2024/102789,KD/24A/0043,garba.haruna@gmail.com,24A,26-Mar-2024,Social Sciences,COMPLETED
Adegoke Aliyu,NYSC/UNILAG/2024/102797,SO/24A/0044,aliyu.adegoke@hotmail.com,24A,22-Mar-2024,Science Faculty,COMPLETED
Yusuf Tolulope,NYSC/UNILORIN/2024/102807,TA/24A/0045,tolulope.yusuf@hotmail.com,24A,26-Mar-2024,Computing Department,COMPLETED
Ogundimu Chibuike,NYSC/UNIPORT/2024/102813,KB/24A/0046,chibuikeogundimu98@yahoo.com,24A,23-Feb-2024,Science Faculty,COMPLETED
Obi Halima,NYSC/UNIBEN/2024/102824,KW/24A/0047,halimaobi18@hotmail.com,24A,11-Mar-2024,Arts Faculty,COMPLETED
Ojo Oluwakemi,NYSC/UNIPORT/2024/102828,BE/24A/0048,oluwojo@gmail.com,24A,25-Mar-2024,Social Sciences,COMPLETED
Adeniyi Oluwakemi,NYSC/ABU/2024/102838,NI/24A/0049,oluwadeniyi@hotmail.com,24A,02-Mar-2024,Education Faculty,COMPLETED
Fashola Segun,NYSC/UNN/2024/102851,AN/24A/0050,segufashola@hotmail.com,24A,16-Mar-2024,Management Sciences,COMPLETED
Ojo Oluwafunmilayo,NYSC/FUTA/2024/102855,GO/24A/0051,oluwojo@outlook.com,24A,07-Mar-2024,Education Faculty,COMPLETED
Ugwu Adannaya,NYSC/UNILORIN/2024/102861,EB/24A/0052,adanugwu@yahoo.com,24A,13-Mar-2024,Environmental Sciences,COMPLETED
Nzekwe Ebunoluwa,NYSC/FUTMINNA/2024/102870,AB/24A/0053,ebunoluwanzekwe75@hotmail.com,24A,23-Mar-2024,Agriculture Faculty,COMPLETED
Nwosu Chiamaka,NYSC/ABU/2024/102879,KD/24A/0054,chiamakanwosu26@outlook.com,24A,15-Mar-2024,Engineering Faculty,COMPLETED
Chima Amina,NYSC/UNIBEN/2024/102882,BE/24A/0055,amina.chima@hotmail.com,24A,04-Mar-2024,Medical Sciences,COMPLETED
Bankole Oluwatobiloba,NYSC/NOUN/2024/102895,OS/24A/0056,oluwatobiloba.bankole@hotmail.com,24A,19-Mar-2024,Management Sciences,COMPLETED
Nwankwo Adaobi,NYSC/FUTMINNA/2024/102899,BY/24A/0057,adaobinwankwo93@yahoo.com,24A,12-Feb-2024,Environmental Sciences,COMPLETED
Fashola Ifeoma,NYSC/UNN/2024/102901,TA/24A/0058,ifeoma.fashola@gmail.com,24A,11-Feb-2024,Management Sciences,COMPLETED
Okonkwo Kayode,NYSC/UNIPORT/2024/102915,GO/24A/0059,kayookonkwo@outlook.com,24A,04-Feb-2024,Library,COMPLETED
Yusuf Nnamdi,NYSC/FUTMINNA/2024/102930,SO/24A/0060,nnamyusuf@yahoo.com,24A,05-Feb-2024,Science Faculty,COMPLETED
Amaechi Abdullahi,NYSC/NOUN/2024/102939,ZA/24A/0061,abdullahiamaechi29@yahoo.com,24A,24-Feb-2024,Science Faculty,COMPLETED
Ogundimu Adaobi,NYSC/UNN/2024/102943,LA/24A/0062,adaobi.ogundimu@outlook.com,24A,15-Mar-2024,Computing Department,COMPLETED
Usman Haruna,NYSC/UI/2024/102949,KD/24A/0063,harunausman4@outlook.com,24A,03-Feb-2024,Agriculture Faculty,COMPLETED
Garba Chizaram,NYSC/OAU/2024/102964,FC/24A/0064,chizaram.garba@yahoo.com,24A,14-Mar-2024,Science Faculty,COMPLETED
Atiku Zainab,NYSC/UNILORIN/2024/102977,KW/24A/0065,zainab.atiku@hotmail.com,24A,01-Mar-2024,Agriculture Faculty,COMPLETED
Obi Emeka,NYSC/UNIBEN/2024/102983,EK/24A/0066,emekaobi72@gmail.com,24A,27-Feb-2024,Arts Faculty,COMPLETED
Nwosu Nnamdi,NYSC/FUOYE/2024/102991,KG/24A/0067,nnamnwosu@gmail.com,24A,18-Mar-2024,Engineering Faculty,COMPLETED
Eze Ezinne,NYSC/FUTMINNA/2024/102993,EK/24A/0068,ezinneeze38@outlook.com,24A,20-Mar-2024,Agriculture Faculty,COMPLETED
Nwosu Taiwo,NYSC/LASU/2024/103000,PL/24A/0069,taiwnwosu@outlook.com,24A,10-Feb-2024,Agriculture Faculty,COMPLETED
Obi Oluwaseyi,NYSC/ABU/2024/103011,LA/24A/0070,oluwaseyiobi1@hotmail.com,24A,14-Feb-2024,Science Faculty,COMPLETED
Olawale Rasheed,NYSC/BUK/2024/103023,BE/24A/0071,rasholawale@yahoo.com,24A,25-Mar-2024,Computing Department,COMPLETED
Anyanwu Usman,NYSC/UNIPORT/2024/103027,OS/24A/0072,usman.anyanwu@gmail.com,24A,13-Feb-2024,Computing Department,COMPLETED
Abdullahi Olalekan,NYSC/ABU/2024/103037,JG/24A/0073,olalekan.abdullahi@yahoo.com,24A,21-Feb-2024,Computing Department,COMPLETED
Okonkwo Femi,NYSC/FUTMINNA/2024/103045,EN/24A/0074,femi.okonkwo@hotmail.com,24A,22-Mar-2024,Medical Sciences,COMPLETED
Oyeleke Victor,NYSC/FUTMINNA/2024/103057,AK/24A/0075,victoroyeleke62@hotmail.com,24A,21-Mar-2024,Arts Faculty,COMPLETED
