"NYSC Corper Registry — Batch 26B | Lead City University, Ibadan",,,,,,,
Full Name,Call-Up Number,State Code,Email,Batch,Service Start Date,Deployment Unit,Status
Amaechi Ogechi,NYSC/UNILORIN/2026/107715,RS/26B/0001,ogecamaechi@outlook.com,26B,28-Jun-2026,Medical Sciences,ACTIVE
Orji Ibrahim,NYSC/UNIBEN/2026/107716,EK/26B/0002,ibrahim.orji@gmail.com,26B,18-May-2026,Medical Sciences,ACTIVE
Babangida Chiamaka,NYSC/UNICAL/2026/107717,SO/26B/0003,chiamaka.babangida@outlook.com,26B,02-May-2026,Computing Department,ACTIVE
Onyekwere Fatima,NYSC/NOUN/2026/107718,ZA/26B/0004,fatimaonyekwere71@hotmail.com,26B,19-Jun-2026,Computing Department,ACTIVE
Oyeleke Chinonso,NYSC/ABU/2026/107730,KG/26B/0005,chinonso.oyeleke@hotmail.com,26B,22-May-2026,Science Faculty,ACTIVE
Adesanya Amina,NYSC/OAU/2026/107745,BY/26B/0006,amina.adesanya@gmail.com,26B,25-Jun-2026,Environmental Sciences,ACTIVE
Chukwu Amina,NYSC/ABU/2026/107749,OS/26B/0007,aminachukwu37@gmail.com,26B,08-Jun-2026,Education Faculty,ACTIVE
Chima Obiageli,NYSC/NOUN/2026/107764,AN/26B/0008,obiagelichima85@gmail.com,26B,30-Jun-2026,Education Faculty,ACTIVE
Ezeh Ifunanya,NYSC/UNIPORT/2026/107768,BY/26B/0009,ifunezeh@yahoo.com,26B,27-Jun-2026,Library,ACTIVE
Nwachukwu Oluwatobiloba,NYSC/FUTMINNA/2026/107774,OS/26B/0010,oluwatobiloba.nwachukwu@hotmail.com,26B,23-Jun-2026,Management Sciences,ACTIVE
Adekunle Uchechi,NYSC/FUTMINNA/2026/107778,AB/26B/0011,ucheadekunle@hotmail.com,26B,18-Jun-2026,Library,ACTIVE
Orji Oluwaseun,NYSC/UI/2026/107780,OG/26B/0012,oluwaseunorji39@gmail.com,26B,24-Jun-2026,Law Faculty,ACTIVE
Ibrahim Ifunanya,NYSC/NOUN/2026/107787,KD/26B/0013,ifunanya.ibrahim@gmail.com,26B,12-Jun-2026,Education Faculty,ACTIVE
Okonkwo Babatunde,NYSC/FUTMINNA/2026/107796,OG/26B/0014,babatundeokonkwo34@yahoo.com,26B,16-Jun-2026,Engineering Faculty,ACTIVE
Atiku Ugochi,NYSC/UNN/2026/107806,OS/26B/0015,ugochiatiku93@outlook.com,26B,06-Jun-2026,Agriculture Faculty,ACTIVE
Oyelaran Wale,NYSC/NOUN/2026/107816,IM/26B/0016,waleoyelaran@outlook.com,26B,30-Jun-2026,Education Faculty,ACTIVE
Ojo Ogechi,NYSC/UI/2026/107818,OG/26B/0017,ogechi.ojo@outlook.com,26B,20-May-2026,Medical Sciences,ACTIVE
Oyelaran Chinyere,NYSC/UNIPORT/2026/107829,AE/26B/0018,chinyere.oyelaran@gmail.com,26B,23-May-2026,Education Faculty,ACTIVE
Ugwu Chibuike,NYSC/UNIBEN/2026/107840,KT/26B/0019,chibuikeugwu36@outlook.com,26B,12-May-2026,Environmental Sciences,ACTIVE
Oyelaran Oluwafunmilayo,NYSC/ABU/2026/107853,SO/26B/0020,oluwafunmilayo.oyelaran@yahoo.com,26B,11-Jun-2026,Social Sciences,ACTIVE
