"NYSC Corper Registry — Batch 24C | Lead City University, Ibadan",,,,,,,
Full Name,Call-Up Number,State Code,Email,Batch,Service Start Date,Deployment Unit,Status
Nwofor Kunle,NYSC/UI/2024/103657,BY/24C/0001,kunlnwofor@yahoo.com,24C,05-Aug-2024,Law Faculty,COMPLETED
Fashola Nwanneka,NYSC/UNN/2024/103663,SO/24C/0002,nwanneka.fashola@outlook.com,24C,28-Sept-2024,Environmental Sciences,COMPLETED
Oyeleke Lawal,NYSC/UNN/2024/103669,KT/24C/0003,lawaloyeleke82@hotmail.com,24C,03-Sept-2024,Social Sciences,COMPLETED
Obiora Ebunoluwa,NYSC/UNICAL/2024/103675,FC/24C/0004,ebunobiora@hotmail.com,24C,06-Sept-2024,Arts Faculty,COMPLETED
Oyeleke Chidi,NYSC/NOUN/2024/103677,DT/24C/0005,chidoyeleke@hotmail.com,24C,17-Sept-2024,Arts Faculty,COMPLETED
Oyelaran Kemi,NYSC/NOUN/2024/103686,OD/24C/0006,kemioyelaran90@yahoo.com,24C,05-Sept-2024,Agriculture Faculty,COMPLETED
Onyekwere Taiwo,NYSC/UNICAL/2024/103694,YB/24C/0007,taiwonyekwere@outlook.com,24C,29-Sept-2024,Social Sciences,COMPLETED
Hassan Usman,NYSC/FUTMINNA/2024/103696,KG/24C/0008,usmanhassan42@outlook.com,24C,11-Aug-2024,Medical Sciences,COMPLETED
Bello Dauda,NYSC/UNIBEN/2024/103706,NA/24C/0009,daudbello@yahoo.com,24C,24-Sept-2024,Social Sciences,COMPLETED
Abubakar Victor,NYSC/ABU/2024/103708,CR/24C/0010,victorabubakar44@gmail.com,24C,31-Aug-2024,Law Faculty,COMPLETED
Ugwu Rotimi,NYSC/UI/2024/103714,BE/24C/0011,rotimiugwu80@yahoo.com,24C,07-Sept-2024,Agriculture Faculty,COMPLETED
Eze Odochi,NYSC/LASU/2024/103725,RS/24C/0012,odochieze26@outlook.com,24C,11-Sept-2024,Engineering Faculty,COMPLETED
Igwe Ifeanyi,NYSC/FUTMINNA/2024/103726,AK/24C/0013,ifeanyiigwe38@hotmail.com,24C,02-Sept-2024,Science Faculty,COMPLETED
Lawan Aliyu,NYSC/OAU/2024/103728,ZA/24C/0014,aliyu.lawan@yahoo.com,24C,16-Aug-2024,Arts Faculty,COMPLETED
Abdullahi Uchechi,NYSC/NOUN/2024/103737,SO/24C/0015,uchechiabdullahi3@outlook.com,24C,10-Sept-2024,Library,COMPLETED
Iwu Garba,NYSC/UI/2024/103741,OS/24C/0016,garba.iwu@gmail.com,24C,22-Aug-2024,Management Sciences,COMPLETED
Salami Adeola,NYSC/NOUN/2024/103748,OD/24C/0017,adeolasalami54@yahoo.com,24C,20-Aug-2024,Agriculture Faculty,COMPLETED
Adeniyi Femi,NYSC/ABU/2024/103758,ZA/24C/0018,femiadeniyi75@yahoo.com,24C,14-Sept-2024,Social Sciences,COMPLETED
Salami Odochi,NYSC/ABU/2024/103773,KG/24C/0019,odochi.salami@yahoo.com,24C,21-Aug-2024,Computing Department,COMPLETED
Nwosu Olumide,NYSC/BUK/2024/103788,FC/24C/0020,olumide.nwosu@outlook.com,24C,07-Aug-2024,Management Sciences,COMPLETED
Sule Fatima,NYSC/UNICAL/2024/103791,BY/24C/0021,fatima.sule@gmail.com,24C,02-Sept-2024,Social Sciences,COMPLETED
Obi Ramoni,NYSC/NOUN/2024/103801,AE/24C/0022,ramoni.obi@hotmail.com,24C,03-Aug-2024,Education Faculty,COMPLETED
