"NYSC Corper Registry — Batch 25D | Lead City University, Ibadan",,,,,,,
Full Name,Call-Up Number,State Code,Email,Batch,Service Start Date,Deployment Unit,Status
Okonkwo Ezinne,NYSC/FUTMINNA/2025/106625,KG/25D/0001,ezinokonkwo@yahoo.com,25D,19-Dec-2025,Social Sciences,ACTIVE
Fashola Chidi,NYSC/FUTMINNA/2025/106640,EK/25D/0002,chidifashola7@hotmail.com,25D,11-Nov-2025,Arts Faculty,ACTIVE
Nwofor Ogechi,NYSC/UNN/2025/106642,ZA/25D/0003,ogechi.nwofor@outlook.com,25D,01-Nov-2025,Law Faculty,ACTIVE
Ojo Mohammed,NYSC/FUTA/2025/106653,BE/25D/0004,mohammedojo60@hotmail.com,25D,01-Nov-2025,Computing Department,ACTIVE
Yusuf Femi,NYSC/UNN/2025/106661,JG/25D/0005,femiyusuf93@yahoo.com,25D,01-Nov-2025,Engineering Faculty,ACTIVE
Onyekwere Olalekan,NYSC/ABU/2025/106668,OD/25D/0006,olalonyekwere@yahoo.com,25D,17-Nov-2025,Management Sciences,ACTIVE
Obi Taiwo,NYSC/FUTMINNA/2025/106676,ED/25D/0007,taiwoobi69@outlook.com,25D,13-Dec-2025,Management Sciences,ACTIVE
Ezeh Aisha,NYSC/UNILAG/2025/106679,KG/25D/0008,aisha.ezeh@yahoo.com,25D,09-Nov-2025,Medical Sciences,ACTIVE
Abdullahi Ezinne,NYSC/LASU/2025/106686,OG/25D/0009,ezinneabdullahi62@outlook.com,25D,02-Dec-2025,Computing Department,ACTIVE
Onwudiwe Ugochukwu,NYSC/NOUN/2025/106694,FC/25D/0010,ugochukwu.onwudiwe@hotmail.com,25D,09-Nov-2025,Agriculture Faculty,ACTIVE
Adeyemi Garba,NYSC/UNIBEN/2025/106700,CR/25D/0011,garbaadeyemi55@gmail.com,25D,19-Nov-2025,Computing Department,ACTIVE
Atiku Yusuf,NYSC/ABU/2025/106708,CR/25D/0012,yusufatiku32@outlook.com,25D,15-Dec-2025,Library,ACTIVE
Onyekwere Tobi,NYSC/UNN/2025/106719,PL/25D/0013,tobi.onyekwere@yahoo.com,25D,09-Nov-2025,Library,ACTIVE
Garba Oluwafunmilayo,NYSC/BUK/2025/106720,EN/25D/0014,oluwafunmilayogarba12@gmail.com,25D,04-Dec-2025,Engineering Faculty,ACTIVE
Okoro Tolulope,NYSC/FUOYE/2025/106732,BY/25D/0015,tolulopeokoro8@hotmail.com,25D,08-Nov-2025,Management Sciences,ACTIVE
Olawale Oluwafunmilayo,NYSC/UNICAL/2025/106738,KT/25D/0016,oluwafunmilayo.olawale@gmail.com,25D,13-Dec-2025,Medical Sciences,ACTIVE
Bankole Zainab,NYSC/UI/2025/106744,PL/25D/0017,zainabbankole56@yahoo.com,25D,24-Nov-2025,Environmental Sciences,ACTIVE
Lawal Usman,NYSC/ABU/2025/106749,LA/25D/0018,usman.lawal@outlook.com,25D,12-Dec-2025,Medical Sciences,ACTIVE
Igwe Festus,NYSC/UNN/2025/106753,OD/25D/0019,festigwe@yahoo.com,25D,29-Nov-2025,Arts Faculty,ACTIVE
Agu Ebunoluwa,NYSC/UNIMAID/2025/106755,ED/25D/0020,ebunoluwaagu6@yahoo.com,25D,06-Dec-2025,Social Sciences,ACTIVE
Olawale Chibuike,NYSC/UNIPORT/2025/106760,KB/25D/0021,chibuikeolawale56@gmail.com,25D,04-Dec-2025,Computing Department,ACTIVE
Ogbonna Oluwaseun,NYSC/ABU/2025/106773,AK/25D/0022,oluwogbonna@yahoo.com,25D,26-Nov-2025,Law Faculty,ACTIVE
Chukwu Salisu,NYSC/UNIPORT/2025/106784,IM/25D/0023,salichukwu@hotmail.com,25D,18-Nov-2025,Agriculture Faculty,ACTIVE
Aliyu Chukwuemeka,NYSC/UNILAG/2025/106787,BE/25D/0024,chukwuemeka.aliyu@hotmail.com,25D,19-Nov-2025,Agriculture Faculty,ACTIVE
Adegoke Damilola,NYSC/UNICAL/2025/106792,IM/25D/0025,damilolaadegoke38@gmail.com,25D,09-Nov-2025,Engineering Faculty,ACTIVE
Nwofor Babatunde,NYSC/UNN/2025/106806,BE/25D/0026,babatunde.nwofor@outlook.com,25D,16-Dec-2025,Engineering Faculty,ACTIVE
Salami Rasheed,NYSC/FUTA/2025/106811,KT/25D/0027,rasheed.salami@gmail.com,25D,17-Dec-2025,Medical Sciences,ACTIVE
Ibrahim Kayode,NYSC/UNN/2025/106814,ZA/25D/0028,kayodeibrahim84@outlook.com,25D,15-Nov-2025,Library,ACTIVE
Ojo Rotimi,NYSC/UNIPORT/2025/106819,EN/25D/0029,rotimi.ojo@hotmail.com,25D,02-Dec-2025,Social Sciences,ACTIVE
Fashola Ifeoma,NYSC/UNIMAID/2025/106827,EB/25D/0030,ifeomafashola83@outlook.com,25D,11-Nov-2025,Library,ACTIVE
Garba Taiwo,NYSC/ABU/2025/106841,EK/25D/0031,taiwo.garba@hotmail.com,25D,17-Dec-2025,Science Faculty,ACTIVE
Adeyemi Oluwaseyi,NYSC/NOUN/2025/106844,KW/25D/0032,oluwaseyi.adeyemi@gmail.com,25D,16-Nov-2025,Management Sciences,ACTIVE
Bello Suleiman,NYSC/UNILAG/2025/106846,LA/25D/0033,suleiman.bello@outlook.com,25D,01-Dec-2025,Science Faculty,ACTIVE
Aliyu Dauda,NYSC/FUOYE/2025/106856,ED/25D/0034,daudaliyu@outlook.com,25D,05-Dec-2025,Education Faculty,ACTIVE
Nwachukwu Ngozi,NYSC/FUTA/2025/106857,ZA/25D/0035,ngozi.nwachukwu@hotmail.com,25D,15-Nov-2025,Science Faculty,ACTIVE
Ezeh Olumide,NYSC/UNICAL/2025/106864,DT/25D/0036,olumide.ezeh@hotmail.com,25D,08-Nov-2025,Computing Department,ACTIVE
Ezeh Ikenna,NYSC/FUOYE/2025/106866,EK/25D/0037,ikenna.ezeh@outlook.com,25D,28-Nov-2025,Science Faculty,ACTIVE
Anyanwu Okonkwo,NYSC/ABU/2025/106872,KG/25D/0038,okonkwo.anyanwu@outlook.com,25D,18-Nov-2025,Computing Department,ACTIVE
Oyelaran Amarachi,NYSC/UNILAG/2025/106883,EK/25D/0039,amarachioyelaran41@yahoo.com,25D,17-Dec-2025,Arts Faculty,ACTIVE
Usman Ifeanyi,NYSC/UI/2025/106897,KG/25D/0040,ifeanyiusman42@yahoo.com,25D,23-Nov-2025,Arts Faculty,ACTIVE
Mbah Tobi,NYSC/FUOYE/2025/106905,KT/25D/0041,tobimbah@hotmail.com,25D,05-Dec-2025,Arts Faculty,ACTIVE
Okoro Salisu,NYSC/OAU/2025/106914,KD/25D/0042,salisu.okoro@hotmail.com,25D,24-Nov-2025,Environmental Sciences,ACTIVE
Makinde Oluwaseun,NYSC/ABU/2025/106918,PL/25D/0043,oluwaseunmakinde45@outlook.com,25D,30-Nov-2025,Science Faculty,ACTIVE
Amaechi Damilola,NYSC/UNILORIN/2025/106932,CR/25D/0044,damiamaechi@gmail.com,25D,16-Dec-2025,Social Sciences,ACTIVE
Nwosu Oluwaseyi,NYSC/FUTMINNA/2025/106939,KG/25D/0045,oluwnwosu@hotmail.com,25D,11-Nov-2025,Engineering Faculty,ACTIVE
Bello Kunle,NYSC/UNICAL/2025/106942,OD/25D/0046,kunle.bello@gmail.com,25D,01-Dec-2025,Science Faculty,ACTIVE
Yusuf Ezinne,NYSC/BUK/2025/106945,PL/25D/0047,ezinne.yusuf@outlook.com,25D,10-Nov-2025,Library,ACTIVE
Babangida Yakubu,NYSC/LASU/2025/106960,AE/25D/0048,yakubabangida@outlook.com,25D,03-Dec-2025,Engineering Faculty,ACTIVE
Atiku Oyinkan,NYSC/UI/2025/106972,IM/25D/0049,oyinatiku@hotmail.com,25D,04-Nov-2025,Science Faculty,ACTIVE
Chukwu Ifeoma,NYSC/UNIMAID/2025/106979,NI/25D/0050,ifeomachukwu49@yahoo.com,25D,12-Dec-2025,Medical Sciences,ACTIVE
Nwachukwu Suleiman,NYSC/OAU/2025/106983,KW/25D/0051,suleiman.nwachukwu@outlook.com,25D,05-Dec-2025,Medical Sciences,ACTIVE
Adeyemi Zainab,NYSC/UNILORIN/2025/106985,ED/25D/0052,zainabadeyemi82@gmail.com,25D,06-Nov-2025,Agriculture Faculty,ACTIVE
Mbah Ngozi,NYSC/UNIBEN/2025/106995,OG/25D/0053,ngozimbah40@gmail.com,25D,26-Nov-2025,Medical Sciences,ACTIVE
Ojo Aliyu,NYSC/ABU/2025/106999,JG/25D/0054,aliyojo@gmail.com,25D,20-Dec-2025,Library,ACTIVE
